#{"t_start": 1789464034.648082, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
210.0,2535,3.005275
100.0,1579,3.362202
155.0,2393,3.923813
375.0,3319,4.681482
160.0,2145,5.14109
155.0,2067,5.636161
185.0,2297,6.170646
215.0,2623,6.827296
180.0,2005,7.344347
165.0,2877,8.091634
215.0,2387,8.665288
155.0,2879,9.37396
140.0,1241,9.657294
135.0,2425,10.208685
150.0,1951,10.680237
90.0,1551,11.026844
200.0,2923,11.726699
15.0,1771,12.143708
55.0,1739,12.562145
30.0,1515,12.9034
90.0,1193,13.208103
135.0,1665,13.598725
455.0,3019,14.4197
265.0,2795,15.061219
245.0,2683,15.734248
80.0,1889,16.244372
175.0,2487,16.858916
75.0,1243,17.166188
205.0,3039,17.887056
265.0,2563,18.5358
65.0,1189,18.805169
210.0,2583,19.466789
30.0,1259,19.776314
315.0,3117,20.544621
60.0,1413,20.863872
125.0,1827,21.302656
410.0,4009,22.212513
120.0,1961,22.688872
65.0,1143,22.945901
110.0,1549,23.370979
110.0,2431,23.935747
105.0,2219,24.47823
105.0,1555,24.869061
80.0,1797,25.338398
55.0,1285,25.63521
125.0,2025,26.174767
130.0,1725,26.615848
55.0,1435,26.949632
180.0,1785,30.794199
255.0,2311,31.337439
110.0,1801,31.816869
125.0,1999,32.287268
55.0,1623,32.713309
160.0,1437,33.059024
370.0,2801,33.750072
135.0,2149,34.223097
145.0,2049,34.73427
215.0,1965,35.178054
85.0,1951,35.66172
30.0,1339,35.952136
230.0,2419,36.551475
180.0,2381,37.125296
80.0,1553,37.470683
35.0,1755,37.915119
120.0,2209,38.413877
295.0,2881,39.093802
110.0,1565,39.467465
105.0,1989,39.980572
55.0,1491,40.331275
345.0,3343,41.145502
70.0,2027,41.67172
180.0,1991,42.107364
110.0,2045,42.634282
10.0,1449,42.950932
20.0,1805,43.357861
120.0,2341,43.94836
165.0,2173,44.551817
55.0,1909,45.041757
120.0,1691,45.453398
210.0,4109,46.399325
150.0,2097,46.885209
130.0,2025,47.338838
125.0,1661,47.742323
315.0,2843,48.425016
80.0,1719,48.820998
30.0,1177,49.162351
210.0,2315,49.699794
25.0,1769,50.10176
110.0,1975,50.583037
85.0,2153,51.060049
240.0,3639,51.901633
90.0,1273,52.198606
55.0,1627,52.571849
210.0,2147,53.050532
110.0,1691,53.462117
155.0,2191,53.959571
50.0,1507,54.343049
110.0,2095,54.792733
115.0,2445,58.85196
60.0,1159,59.106915
110.0,2167,59.630448
85.0,1175,59.910067
20.0,1339,60.203237
75.0,1957,60.673665
285.0,2895,61.29337
240.0,3405,62.084477
260.0,2601,62.716572
180.0,1879,63.119369
45.0,1099,63.424023
125.0,2329,63.948051
120.0,2085,64.456732
110.0,1785,64.856032
210.0,2911,65.514814
155.0,2079,65.967809
175.0,2067,66.47265
120.0,1933,66.89884
155.0,1951,67.378892
315.0,2955,68.065965
65.0,1139,68.320261
80.0,1989,68.755749
105.0,2191,69.28776
155.0,2783,69.938842
105.0,1543,70.286125
90.0,1445,70.603421
90.0,1485,70.99285
80.0,2093,71.452964
135.0,1863,71.947802
135.0,2119,72.409569
210.0,2459,73.001998
135.0,2335,73.520165
55.0,1385,73.895987
120.0,2145,74.365188
150.0,2309,74.930168
180.0,2327,75.437955
110.0,1641,75.862107
150.0,2115,76.325152
245.0,2919,77.01409
80.0,1631,77.377553
50.0,1461,77.768972
290.0,3019,78.425411
55.0,1387,78.786197
145.0,2119,79.255904
90.0,1885,79.772859
80.0,1261,80.040745
65.0,1475,80.381199
100.0,1685,80.805305
45.0,1803,81.213658
100.0,2187,81.751163
80.0,1555,82.093742
225.0,2627,86.067394
155.0,2259,86.569641
190.0,2147,87.116708
65.0,1665,87.49293
320.0,4307,88.45351
145.0,2397,89.034477
205.0,2757,89.692624
65.0,1403,90.004678
75.0,1519,90.329706
160.0,2593,90.964748
660.0,3287,91.729896
90.0,1327,92.01375
180.0,2433,92.598177
165.0,2029,93.052346
180.0,2145,93.572794
55.0,1507,93.900934
105.0,1187,94.170955
150.0,2051,94.733712
200.0,2761,95.382496
110.0,1917,95.811335
110.0,1869,96.220599
80.0,1153,96.524433
120.0,2001,96.977787
35.0,1177,97.259321
90.0,1921,97.701347
210.0,4089,98.651742
210.0,2379,99.221553
135.0,2327,99.745161
140.0,1931,100.225408
120.0,1563,100.56233
20.0,1225,100.889965
50.0,1203,101.207748
45.0,1485,101.516762
80.0,1635,101.915206
100.0,1977,102.398317
120.0,2133,102.877668
75.0,1275,103.22545
155.0,2273,103.72564
100.0,2277,104.288267
110.0,2217,104.77145
35.0,1669,105.198442
85.0,1799,105.600893
80.0,1819,106.05654
200.0,2875,106.688499
210.0,2287,107.250996
105.0,1847,107.657025
50.0,1517,108.044724
590.0,3569,108.849255
175.0,1977,109.307447
80.0,1085,109.545382
90.0,1637,116.121064
360.0,3291,122.611728
165.0,2415,127.418156
135.0,2041,131.412994
345.0,2535,136.375746
165.0,2443,141.16268
105.0,1701,144.491805
110.0,2263,148.941029
60.0,1969,152.898558
160.0,2161,157.206099
45.0,1169,159.507972
85.0,1825,163.070086
135.0,1837,166.654725
170.0,2431,171.442772
135.0,1745,174.857694
195.0,2393,179.642996
135.0,1845,183.267473
20.0,1605,186.412555
60.0,1397,189.058963
205.0,2509,194.035872
80.0,1269,196.57944
120.0,2235,200.968102
190.0,2385,205.722731
110.0,1521,208.687205
65.0,1229,211.023737
135.0,1819,214.568316
210.0,2931,220.37652
140.0,2229,224.758606
100.0,1491,227.668306
485.0,3537,234.635761
255.0,2697,239.928781
160.0,3715,247.314787
155.0,1845,250.895013
120.0,1869,254.56873
110.0,1743,257.953155
180.0,2883,263.920936
110.0,2017,268.035498
40.0,1735,271.472712
80.0,1513,274.5138
105.0,1889,278.41236
105.0,1563,281.53065
105.0,2211,286.109003
240.0,2773,291.666452
110.0,2271,296.150707
210.0,2399,300.838531
170.0,2617,306.033536
105.0,1807,309.61042
30.0,1547,312.56545
100.0,1447,315.421082
155.0,2383,323.292343
215.0,2441,328.102398
180.0,2021,332.157568
120.0,2067,336.194121
125.0,1985,340.063466
120.0,1631,343.283889
210.0,2543,348.346503
330.0,2967,354.195259
30.0,1015,356.187488
180.0,2251,360.666721
420.0,3585,367.78071
100.0,1569,370.801956
90.0,1639,374.077357
205.0,2593,379.29223
260.0,2827,384.912472
245.0,3569,392.046745
30.0,1667,395.32473
185.0,2061,399.43093
90.0,2271,403.897514
205.0,2705,409.205464
85.0,1157,411.430857
260.0,2875,417.075636
245.0,4121,425.19102
130.0,2129,429.359905
100.0,2073,433.423101
210.0,2921,439.188698
155.0,2327,443.764202
240.0,2271,448.353845
155.0,1947,452.214195
135.0,2313,456.758238
230.0,2721,462.047933
180.0,2905,467.765532
305.0,2837,473.363263
385.0,2433,478.16487
60.0,2183,482.448783
325.0,3230,488.852016
165.0,2601,494.009064
180.0,2735,499.466325
130.0,1913,503.2572
260.0,2469,508.069313
110.0,2359,512.681776
210.0,2599,517.801001
210.0,2441,526.302539
65.0,1961,530.198971
150.0,1881,533.879016
125.0,2437,538.705063
225.0,3269,545.230066
325.0,2929,551.012338
55.0,1617,554.199087
60.0,1475,557.095782
185.0,2371,561.771957
265.0,2857,567.339735
120.0,1947,571.136552
45.0,1569,574.205381
20.0,1889,577.936954
255.0,3479,585.183054
135.0,2255,589.790777
105.0,1827,593.477634
180.0,2433,598.352356
110.0,2017,602.562077
210.0,2451,607.599968
175.0,1919,611.455588
110.0,1969,615.431472
145.0,2453,620.531663
85.0,1807,624.199175
200.0,3093,630.548314
110.0,2093,635.02383
665.0,3529,642.30465
45.0,1061,644.48195
80.0,1249,647.038794
175.0,2361,651.728755
140.0,2359,656.41853
135.0,2395,661.225119
110.0,1773,664.777977
65.0,1881,668.468809
80.0,1249,670.858633
80.0,1233,673.26909
100.0,1559,676.349516
120.0,2069,680.477413
340.0,3355,687.199053
100.0,1557,690.283338
185.0,2179,694.634025
250.0,2543,699.688817
5.0,1721,703.064398
120.0,2219,707.511194
210.0,2017,711.449245
115.0,1827,715.14731
125.0,2149,719.510756
130.0,1975,723.389044
105.0,1307,725.976247
360.0,2941,735.809436
210.0,2665,741.169314
130.0,3473,748.063694
215.0,3757,755.578039
165.0,2335,760.274552
420.0,3419,767.323824
180.0,2321,771.886763
155.0,1935,775.688688
100.0,1951,779.590209
185.0,2405,784.311741
280.0,2293,788.893933
55.0,1533,791.916253
215.0,2003,795.811334
170.0,2533,800.815586
55.0,1157,803.029527
155.0,2499,807.956429
385.0,3021,813.983484
75.0,1085,816.121164
105.0,1831,819.755507
105.0,1915,823.529697
225.0,2687,828.882107
185.0,2079,833.035414
35.0,1173,835.332395
140.0,2387,840.059713
180.0,2403,844.77001
50.0,1055,846.89549
110.0,1983,850.885612
110.0,1475,853.786331
225.0,2811,859.266865
145.0,1915,863.075691
105.0,1901,866.869067
240.0,2809,872.371127
270.0,2563,877.43819
370.0,3007,883.43523
95.0,1877,887.145672
105.0,1737,890.633411
335.0,2393,895.396696
210.0,2401,900.206396
260.0,2693,905.582513
80.0,1533,908.621969
180.0,2391,913.338486
155.0,2311,917.943377
305.0,3201,924.379292
260.0,2537,929.503249
125.0,1575,932.608728
225.0,2753,941.545566
110.0,1809,945.144133
105.0,1933,948.966038
45.0,1515,951.956017
120.0,2169,956.178391
170.0,2551,961.312186
30.0,1049,963.352167
110.0,2093,967.585175
170.0,2631,972.958521
270.0,2563,978.25449
135.0,2191,982.772666
125.0,2331,987.73496
105.0,1393,990.682258
210.0,2365,995.795202
215.0,2001,1000.060165
75.0,1597,1003.355863
235.0,2759,1009.032759
110.0,2061,1013.339831
140.0,2331,1018.164297
210.0,2351,1023.119835
260.0,3093,1029.570557
45.0,1571,1032.809914
175.0,2167,1037.44914
150.0,2257,1042.241275
250.0,2653,1047.942007
125.0,2279,1052.798841
280.0,3243,1059.313787
140.0,2391,1064.096588
75.0,1043,1066.174091
225.0,1893,1070.105628
120.0,2357,1075.048204
85.0,1539,1078.24853
320.0,2821,1084.027545
95.0,2049,1088.234113
85.0,1169,1090.590813
135.0,1927,1094.581834
85.0,1901,1098.603367
180.0,2001,1102.756655
215.0,2641,1108.064603
80.0,1789,1111.686974
165.0,1897,1115.473066
105.0,1893,1119.357465
415.0,1883,1123.258007
160.0,2161,1127.63252
80.0,1847,1131.31011
105.0,1625,1134.589277
110.0,1873,1138.384393
20.0,1521,1141.483333
150.0,2065,1145.64087
50.0,1143,1147.899143
60.0,2183,1155.476627
605.0,4311,1164.308728
155.0,1903,1168.143068
185.0,2435,1173.117924
115.0,1881,1177.007551
155.0,2339,1181.701035
50.0,1963,1185.670442
80.0,1271,1188.263024
100.0,2093,1192.673205
225.0,2457,1197.764252
35.0,1157,1200.130605
50.0,1207,1202.524207
530.0,3557,1209.754803
180.0,2319,1214.448177
165.0,2267,1219.067369
105.0,1947,1222.980637
160.0,2549,1228.173955
140.0,1929,1232.032826
85.0,1867,1235.816209
90.0,1889,1239.61326
45.0,1717,1243.059844
50.0,1125,1245.346971
445.0,3275,1252.031302
105.0,1917,1255.933459
410.0,2613,1261.211354
115.0,1145,1263.51491
50.0,1155,1265.858614
115.0,2087,1270.105017
50.0,1175,1272.463831
155.0,2355,1277.256814
135.0,2359,1282.102081
105.0,1283,1284.632114
100.0,1075,1286.788542
210.0,2485,1291.792249
40.0,1591,1295.004577
125.0,2093,1299.306101
130.0,1755,1302.881234
35.0,1613,1306.218564
65.0,1729,1309.718897
180.0,2421,1314.695336
380.0,2515,1320.007087
315.0,3903,1328.210013
240.0,4147,1336.92068
165.0,2113,1341.293673
150.0,2507,1346.435716
180.0,2465,1351.403799
135.0,2383,1356.303897
240.0,3093,1367.08366
120.0,2049,1371.408877
160.0,2637,1377.014326
120.0,2343,1382.53827
70.0,1083,1385.075135
95.0,1337,1388.180377
155.0,2403,1393.039435
380.0,2495,1398.132365
205.0,3301,1404.741148
425.0,3091,1411.061392
175.0,2565,1416.273903
75.0,1553,1419.588003
135.0,2029,1423.796096
75.0,1247,1426.246893
125.0,2497,1431.359057
155.0,2381,1436.197476
210.0,2437,1441.249087
140.0,2341,1445.99452
210.0,1913,1449.837134
85.0,1355,1452.547132
125.0,1929,1456.548236
140.0,2017,1460.643732
260.0,2849,1466.438989
30.0,1029,1468.496799
15.0,1009,1470.476791
90.0,1855,1474.239714
155.0,2341,1479.031561
115.0,2161,1483.62762
130.0,1859,1487.427407
55.0,1161,1489.74529
120.0,1915,1493.640984
105.0,1991,1497.680141
135.0,2301,1502.445653
275.0,3247,1509.135641
110.0,1379,1511.959828
210.0,2353,1516.706916
105.0,1315,1519.339618
75.0,1805,1523.05039
75.0,1503,1526.168054
140.0,2161,1530.72945
185.0,2407,1535.778379
165.0,2343,1540.673976
180.0,2647,1546.227713
210.0,2437,1551.706028
115.0,2293,1556.784031
120.0,2321,1561.641597
110.0,1953,1566.044142
210.0,2551,1571.655447
295.0,3153,1578.750446
95.0,1511,1586.14585
180.0,2331,1591.181798
220.0,2321,1596.264448
205.0,2417,1601.632166
30.0,1129,1604.102714
280.0,2833,1610.309376
50.0,1097,1612.624751
105.0,1955,1617.16222
150.0,2571,1622.772307
105.0,1919,1626.864876
125.0,2515,1632.217704
235.0,2401,1637.24953
155.0,1815,1641.143843
65.0,1519,1644.261479
80.0,1903,1648.265895
130.0,1553,1651.530264
130.0,1531,1654.943669
15.0,1065,1657.321312
180.0,2005,1661.694562
190.0,1997,1665.941556
490.0,2669,1671.613364
135.0,1907,1675.494701
130.0,2793,1681.184305
75.0,1425,1684.03778
45.0,1173,1686.491724
110.0,1965,1690.746192
465.0,3559,1698.45435
135.0,1871,1702.436025
65.0,1113,1704.720213
205.0,2551,1710.117668
135.0,2491,1715.300622
80.0,1347,1718.024889
155.0,2303,1722.728679
90.0,1115,1724.973642
155.0,2337,1729.718845
275.0,3791,1737.546052
180.0,2933,1743.592612
230.0,3349,1750.446285
120.0,2277,1755.071724
195.0,2459,1760.080817
215.0,2591,1765.387463
105.0,2071,1769.60896
75.0,1447,1772.548433
135.0,2281,1777.235535
105.0,1923,1781.156987
210.0,2513,1786.429947
190.0,2387,1791.300282
180.0,2529,1796.496582
90.0,1899,1804.543893
185.0,2443,1809.824491
105.0,1349,1812.63708
80.0,1445,1815.629928
120.0,2019,1819.962423
70.0,1609,1823.284307
115.0,1493,1826.491177
140.0,1913,1830.448748
175.0,1989,1834.820457
285.0,3219,1841.989037
125.0,1285,1844.683671
45.0,1251,1847.324368
260.0,3001,1853.895398
190.0,1925,1858.140582
310.0,3395,1865.45062
225.0,2451,1870.666074
100.0,2019,1875.063805
110.0,1767,1878.846829
185.0,2447,1884.111841
465.0,4373,1893.597764
310.0,2633,1899.255921
250.0,2463,1904.396463
410.0,2419,1909.50089
70.0,1461,1914.118517
130.0,2477,1922.396714
105.0,1339,1926.651675
195.0,2665,1935.171921
70.0,1589,1940.324155
115.0,1885,1946.421447
215.0,1917,1952.494059
75.0,1795,1958.356365
235.0,2799,1967.475463
75.0,1365,1971.854416
210.0,2423,1979.765924
175.0,2399,1987.484638
135.0,1935,1992.382165
110.0,2033,1996.3166
265.0,3271,2002.644109
150.0,1819,2005.872415
165.0,2675,2010.7275
335.0,2929,2016.46331
605.0,4031,2024.025463
185.0,2003,2027.412822
270.0,2505,2032.437624
130.0,1847,2036.155778
